"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 5","typography_body-m__xgxZ_ 6","typography_body-m__xgxZ_ 7","typography_body-m__xgxZ_ 8"
"","https://fr.trustpilot.com/users/585852500000ff000a63850b","Fiona Roll","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","20 déc. 2016","https://fr.trustpilot.com/reviews/5858525a09f8ed09840b9700","Très déçue...","Commande faite il y a maintenant 3 semaines... J'étais censée être livrée le 9... Je ne l'aurais surement pas avant Noël et comme c'était un cadeau de Noël, je suis ""ravie""... :-/Service clientèle catastrophique, j'ai mis 30 min pour les avoir il y a quelques jours et on m'a clairement ""baladé"". Par contre, le prélèvement, lui, a bien eu lieu en temps et en heure.D'après les réseaux sociaux, je ne suis clairement pas la seule. Je pense qu'ils vont finir par couler si ça continue comme ça...Quoi qu'il en soit, je déconseille et je ne commanderais plus la bas !","19 décembre 2016","Date de l'expérience:","Utile","Partager",""
"LO","https://fr.trustpilot.com/users/58583abb0000ff000a637b83","Loic","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 déc. 2016","https://fr.trustpilot.com/reviews/58583afe90a4930b481d24a5","Commande annulée mais bien débité","Je commande un blouson avec 50% de réduction (qu'ils m'ont envoyé par courrier). Je paye par paypal et je suis bien débité mais oh surprise, la commande est annulée 1 semaine après (alors que je reçois un mail m'informant que le transporteur ne pourra pas me livrer à la date prévue et qu'il me recontacte d'ici 2 jours).Je les appelle et décide de recommander le même blouson avec la même réduction mais par carte bleue ce coup-ci.Comme la 1ère commande, je suis débité mais commande annulée 1 semaine plus tard (alors que j'ai encore reçu le mail m'informant du décalage de la livraison).La chose marrante, c'est qu'il est indiqué que le débit se fait à l'expédition de la commande dans les CGV...mensonge ?","19 décembre 2016","Date de l'expérience:","Utile","Partager",""
"CL","https://fr.trustpilot.com/users/5857e6880000ff000a635173","Cliente","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 déc. 2016","https://fr.trustpilot.com/reviews/5857e6a69d0efe0becb42c60","CATASTROPHIQUE ET NON PROFESSIONNEL !","Bonjour.J'ai commandé sur la redoute le 12/12. Soit 12 jours avant noël.Sur le site '' livraison garantie le 17/12 ''. Super. J'achète.Le 17/12 toujours rien... Je regarde sur mon compte client : Rien, colis '' en cours '' et c'est la seule et unique information.J'appel le 19/12 le service client : '' nous sommes actuellement en ligne, veuillez rappeler ultérieurement '' ... 5 tentatives comme ca !Je rappel... 10 mins d'attente ! Une conseillère qui je sais fais juste son travaille, me dit qu'il y a eu un problème de facturation et que mon colis arrivera le 24/12 ! CATASTROPHE ! Je partais le 21/12 chez ma famille et je n'ai pas mon cadeau !La redoute n'informe pas les clients des retards, AUCUN suivit de colis sur le compte client !! Ils se contentent de s'excuser, ils ne respectent pas leur devoir d'information ! Ils ne proposent aucune solution : pas possible de rembourser, pas possible de livrer à une autre adresse !Je vous déconseille cette entreprise, n'achetez plus chez eux bien d'autre sont plus professionnels ! Il faut arrêter ces entreprises qui encaissent les gens facilement mais qui communiquent sur des délais de livraison erronés, qui ont un service client déplorable, qui ne proposent aucune solution à la clientèle !","19 décembre 2016","Date de l'expérience:","Utile","Partager",""
"BA","https://fr.trustpilot.com/users/5857c7480000ff000a6343b3","Baumgarten","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 déc. 2016","https://fr.trustpilot.com/reviews/5857c9a49d0efe0becb42ba6","Services clients en dessous de tout","G passé 3 commandes sur la redoute,résultats 1  a été correctement traitée,les deux autres c est une catastrophe. .........service client nul...........En plus ils travaillent avec votre argent. ......","19 décembre 2016","Date de l'expérience:","Utile","Partager",""
"ÉM","https://fr.trustpilot.com/users/58565ff70000ff000a62f305","Émilie","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 déc. 2016","https://fr.trustpilot.com/reviews/585660199d0efe0becb427cd","Comment la redoute m'a volé.","Je commande le 10 décembre un peignoir homme brodé à 43,99 euros et un peignoir femme non brodé à 10,99 euros pour des cadeaux de Noël. Le 17 décembre je reçois un email me confirmant que ma commande est arrivée en point relay. Le commerçant me donne le colis, et une fois chez moi à ma grande surprise, je n'ai qu'un peignoir homme non brodé à 26,99 euros. J'appelle le service client, après 20 minutes d'attente, une femme m'affirme que si je veux recevoir mon peignoir brodé homme, il faut que je repaie la somme de 43,99 euros une nouvelle fois et que mon autre peignoir femme que je n'ai pas reçu ne devrait pas tarder à arriver, elle me propose de passer directement la commande avec elle au téléphone en me faisant une remise, elle m'annonce le prix de 32,99 euros et me demande mes coordonnées bancaires, je lui donne mon numéro de CB, nous raccrochons, jusqu'ici tout va bien. Sauf que je ne reçois aucun reçu pour la commande que je viens de passer avec elle au téléphone... je les rappelle  et là c'est le drame, une autre femme m'annonce que ma commande a bien été repassé mais pour un peignoir non brodé au prix de 54,99 euros !!! Somme que l'on ne m'a jamais annoncé en me demandant mes coordonnées bancaires et à ma grande surprise elle m'annonce que le peignoir non brodé homme que j'ai reçu à 26,99 euros alors que j'ai payé 43,99 euros pour un brodé, et bien je ne peux pas le retourner ! Son motif : c'est censé être un peignoir brodé et informatiquement vous ne pouvez donc pas le retourner !!! Je me retrouve donc avec : - 1 peignoir homme à 26,99 euros non brodé  que je ne peux pas retourner alors que j'ai payé 43,99 euros. - 1 peignoir femme classique à 10,99 que je n'ai jamais reçu. - Et autre peignoir non brodé, que la dame m'a vendu en me disant qu'il serait cette fois ci brodé et avec une remise dont à 32,99 euros, alors qu'en fait je vais réellement être débité 54,99 euros et il ne sera PAS brodé. Le comble de tout ça, c'est que c'étaient des cadeaux de noël et je recevrais cet article ( que je sais déjà non conforme à ma seconde commande) en JANVIER 2017 !LA REDOUTE # ARNARQUE # INCOMPETENTS # PASSEZ VOTRE CHEMIN","18 décembre 2016","Date de l'expérience:","Utile","Partager",""
"CE","https://fr.trustpilot.com/users/509c0d1100006400012660c0","Cecile","8 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 déc. 2016","https://fr.trustpilot.com/reviews/58565d5c90ef7602682b200f","Jamais reçu ma commande.","Commande passée fin septembre 2016. Colis prévu en livraison mi octobre.... Nous sommes en décembre,j attends toujours!! Pour des chaussures enfants,c est peu dommage. Vous êtes au courant que les enfants grandissent? J ai annulé ma commande ce jour. Vous vous foutez un peu du monde. Même pas un mail pour prévenir... la redoute,c est la dernière fois.","18 décembre 2016","Date de l'expérience:","Utile","Partager",""
"XD","https://fr.trustpilot.com/users/5852dcea0000ff000a622677","xavier defraiteur","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","15 déc. 2016","https://fr.trustpilot.com/reviews/5852dd0890ef7602682a937d","a eviter","ne tiens pas ses engagements concernant les dates de livraisonAppel mais rien ne bouge au niveau des soi disant conseillers de venteA éviter il existe d autres emarchands plus serieux","15 décembre 2016","Date de l'expérience:","Utile","Partager",""
"PO","https://fr.trustpilot.com/users/565871560000ff0001ee28d6","potriais","8 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","15 déc. 2016","https://fr.trustpilot.com/reviews/5852843290ef7602682a7980","Nul...","Suite à la panne de mon blender chauffant, je contacte la Redoute qui me donne les coordonnée de la société en charge de la réparation.Envoi du blender à l'adresse indiquée, réponse sous 24h: non réparable mais couvert par la garantie. Voilà pour la partie qui a bien fonctionné!Ensuite, ça se corse: plus de nouvelles.J'appelle donc le SAV (ou prétendu tel...) 5 à 6 fois, où je suis baladée, après de temps d'attente à vous endormir au bout du fil, de service en service et de réponse foireuse en réponse foireuse!Tentative par mail sur le site de la Redoute: rien!Nouvel appel téléphonique ou on me répond qu'une réponse m' a été envoyé il y a 3 semaines pour me donner la marche à suivre! Je n'ai jamais rien reçu de ce genre...J'envoie un courrier par la poste au service Relation Clients (il parait qu'il existe) et par mail une bonne quinzaine de fois (je me suis lâchée). Et ce matin, la Redoute m'appelle deux fois (c'est sans doute le jour de la semaine où ils bossent...) pour me dire d'abord que mon dossier avait été clôturé par erreur et ensuite pour me proposer de me rembourser sous 10 jours en m'invitant à repasser une commande de blender! Il parait que c'est la procédure. Pas plus simple d'en renvoyer un directement?Cliente de longue date de la Redoute, j'ai mis jusqu'à ce jour un point d'honneur à continuer à leur faire confiance dans les difficultés que la société rencontre, mais là, c'est trop: je ne commanderai plus jamais chez la Redoute!","15 décembre 2016","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/55af94650000ff0001ce755b","Voisin","11 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","15 déc. 2016","https://fr.trustpilot.com/reviews/5852514090ef7602682a6bfe","Personne incompétente par tel","J'appelle ce matin pour avoir 2 renseignements : à quel ordre rédiger mon chèque (je suis en paiement confiance et la livraison me convient) et à quelle adresse l'envoyer.A priori rien de plus simple ! Et bien après 12 minutes d'attente je tombe sur une opératrice qui ne comprend rien à ma demande ! Ou ai-je atterri ? Elle ne sait pas ce que veut dire ""à quel ordre je rédige le chèque"" et quand je lui dis que je veux juste savoir ce que je dois écrire sur le chèque elle me répond textuellement ""le montant de la commande"" bref un discours de sourdes exaspérant !!!Offrez vous des opératrices compétentes et qui non seulement parlent mais aussi comprennent le français...ou bien supprimez le service qui n'en est pas un","15 décembre 2016","Date de l'expérience:","Utile","Partager",""
"LC","https://fr.trustpilot.com/users/58515a1b0000ff000a61a76d","LE CARRE alexandra","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","14 déc. 2016","https://fr.trustpilot.com/reviews/58515a480697f1035027df0b","Inadmissible!","Vous n’informez pas vos clients de la livraison qui a lieu 3 semaines plus tôt que prévu en relais colis! Résultat la livraison repart chez vous et il faut compter 3 semaines pour être remboursé parce que VOUS n'avez pas fait votre travail correctement!Cela faisait bien longtemps que je n'avais pas commandé chez vous... et bien on peut dire que vous faites le nécessaire pour que l'on ait plus du tout envie de commander!","14 décembre 2016","Date de l'expérience:","Utile","Partager",""
"GA","https://fr.trustpilot.com/users/585142590000ff000a619d6d","gabele","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","14 déc. 2016","https://fr.trustpilot.com/reviews/5851428c0697f1035027deb6","La redoute n a aucun respect pour ces clients","Commande passe le 30/11/16 , j ai téléphone plusieurs fois , ils sont incapable de me dire quand je vais être livrée ( peut être 1 semaine peut être deux ) voila la réponse  , C est honteux","14 décembre 2016","Date de l'expérience:","Utile","Partager",""
"TP","https://fr.trustpilot.com/users/57daa5af0000ff000a44ad28","L","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 déc. 2016","https://fr.trustpilot.com/reviews/58501fe302db9b08183e1cd9","non respect du client ni du code de la consommation","commande validee il y a 1 mois 1/2, declaree perdue par 2 transporteurs successifs, apres m'avoir envoyee la chercher dans un relais colis ou elle n'était pas (le sav au tel depuis le relais suite a mon appel : ""vous etes sure ? "" incroyable mais vrai). Remboursement toujours pas effectué, en non respect total du code de la consommation, ils font peser le risque du transport sur le client. J'ai prevu de faire un courrier recommande de mise en demeure pour me faire rembourser. Ils vont perdre une cliente de 30 ans, et visiblement ça ne les choque pas, malgré une dizaine d'appels au sav, j'ai meme eu un teleconseiller qui a ri du motif de mon appel. surtout, FUYEZ !!! (on comprend le depot de bilan et les problemes financiers aussi...)","13 décembre 2016","Date de l'expérience:","Utile","Partager",""
"OC","https://fr.trustpilot.com/users/584ffe690000ff000a613416","Olivier C","9 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 déc. 2016","https://fr.trustpilot.com/reviews/584ffeb7a4dc1008a02486d4","Site nul. Aucun service client.","Attention certains produits livrés ne sont pas conformes à la description faite sur leur site. J'ai commandé une paire de chaussure grise et elle est arrivée bordeaux. Par ailleurs, le site La Redoute filtre les avis publiés. Les avis négatifs sont rejetés. Aucune correction faite sur le site malgré l'erreur mentionnée.En conclusion site mensongé. Faites attention. SAV par ailleurs inexistant. Aucune réponse aux emails.","13 décembre 2016","Date de l'expérience:","Utile","Partager",""
"BR","https://fr.trustpilot.com/users/584e8b500000ff000a60b25b","Bruno","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","12 déc. 2016","https://fr.trustpilot.com/reviews/584e8b6c0697f10474cf8e28","Excellent quand tout va bien; mauvais pour resoudre un problème !","Ai commandé le 01/12/16 par internet un objet avec livraison le 07/12/16.Le 07 rien, le 08, 09 toujours rien ! Donc appel au service client.Mince alors, ma commande est bloqué suite à un bug informatique. L'hôtesse au téléphone m'annonce qu'elle fait passé ma commande en priorité pour que je puisse la recevoir très rapidement. Nous sommes le 12; sur le suivi de commande pas de mouvement ! Je rappelle donc le service client et là, même rengaine .... commande bloquée suite à bug informatique etc etc.... J'ai demandé à faire annuler cette commande en espérant qu'il n'y ait pas non plus de bug informatique à ce niveau. Déçu par La redoute et je ne pense pas y retourner........Pour l'instant c'est mieux aux 3 Suisses !","12 décembre 2016","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/584dbaca0000ff000a608929","Fairya Lee","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","12 déc. 2016","https://fr.trustpilot.com/reviews/584dbadf90ef76043c78d445","SCANDALEUX !!","Commande passé début septembre mais trompée sur la couleur donc directement renvoyée sans avoir ouvert le colis ! Aujourd'hui en décembre, je n'ai toujours pas été remboursée malgré la dizaine d'appel que j'ai fait au SAV (dont des appels surtaxés) ! Un coup on me dit vous allez être remboursée dans une semaine, un coup on me dit dans 3 semaines,... à chaque fois j'ai attendu et rien ! Jusqu'au jour où j'ai passé un savon à une standardiste et celle-ci me répond quoi ? Un chèque a été envoyé... mais à une adresse qui n'est pas chez moi !! Je demande alors de me faire rembourser sur mon compte (comme sur tous les sites) et on me dit que non le chèque a été envoyé et qu'il arrivera d'ici une semaine ... ça fait aujourd'hui deux semaines que l'amie qui habite à tataouine ne l'a toujours pas reçu... étant étudiante cela me rend furieuse, j'ai effectivement besoin de cet argent ! J'ai l'habitude d'acheter tous les mois sur internet mais jamais au grand jamais je ne renouvellerai mes achats sur la Redoute ! PREMIÈRE ET DERNIÈRE FOIS ! À éviter à tout prix !","11 décembre 2016","Date de l'expérience:","Utile","Partager",""
"VI","https://fr.trustpilot.com/users/584d14b50000ff000a605e97","VILLON","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","11 déc. 2016","https://fr.trustpilot.com/reviews/584d150ca4dc1008a0247daf","non respect des commandes","commandes effectuées le 27/11/2016/- premier problème erreur dans la saisie de la référence de l'article et par la suite impossible de le faire rectifier. du coup article reçu, encaissé, et à ce jour non remboursé suite au renvoi fait.- malgré la confirmation par téléphone d'un conseillé, certains articles sont maintenant en rupture, donc ne seront plus disponibles.que penser de ce mode de vente d'articles qui n'existent pas?ce n'est pas la première fois que cela arrive.La Redoute est une enseigne peu sérieuse, à la limite de l'escroquerie!!!Un conseil évitez toute commande pour ne pas être piège par un système peu scrupuleux.","11 décembre 2016","Date de l'expérience:","Utile","Partager",""
